x,y
2.567894,3.754639
2.481773,3.815528
2.582408,3.575271
2.494653,3.768595
2.633679,3.716972
2.772888,3.688929
2.559715,3.788172
2.790845,3.628967
2.625736,3.848060
2.680480,3.844180
2.528972,3.726753
2.571107,3.575153
2.802286,3.877627
2.559330,3.593327
2.600888,4.070334
2.399511,3.703741
2.745647,3.700670
2.704474,3.756931
2.391733,3.889203
2.467687,3.855770
2.438228,3.727374
2.665064,3.752494
2.615660,3.747873
2.552061,3.888001
2.517406,3.740052
2.673911,3.579627
2.800179,3.916250
2.520649,3.827346
2.554062,3.809396
2.529459,3.804341
2.590230,3.763991
2.739098,3.768527
2.613983,3.682712
2.662231,3.792333
2.599798,3.895969
2.493355,3.529728
2.439667,3.695174
2.553959,3.954929
2.698521,3.773344
2.569253,3.659681
2.566613,3.636445
2.668098,3.719587
2.791210,3.646119
2.613516,3.616796
2.579913,3.765358
2.612824,3.708141
2.471268,3.658637
2.588863,3.611457
2.477796,3.751453
2.468963,3.703134
2.349456,3.619556
2.515882,3.661310
2.533613,3.515236
2.664082,3.681830
2.579917,3.586113
2.473501,3.593582
2.670490,3.642208
2.478380,3.904039
2.690717,3.530761
2.717442,3.758394
2.498766,3.716859
2.721492,3.662003
2.743299,3.598927
2.698895,3.792212
2.703429,3.620091
2.670910,3.550971
2.583931,3.676479
2.538006,3.588478
2.604441,3.771543
2.634426,3.668877
2.504057,3.658548
2.597205,3.739018
2.497203,3.744297
2.597214,3.872196
2.766655,3.706274
2.497316,3.891439
2.579327,3.450673
2.769290,3.644394
2.604282,3.651399
2.746392,3.492766
2.673294,3.907627
2.537684,3.733892
2.545276,3.775701
2.547370,3.879447
2.618186,3.670499
2.705088,3.637299
2.513739,3.903997
2.515635,3.821192
2.609630,3.579205
2.710187,3.734215
2.563525,3.800434
2.583095,3.822732
2.538318,3.590800
2.685671,3.513288
2.633392,3.510018
2.736767,3.540352
2.600441,3.880179
2.601073,3.712021
2.594310,3.685097
2.678409,3.823548
3.305745,-3.518025
3.170256,-3.683623
3.223630,-3.371095
3.078210,-3.530495
2.999269,-3.535700
3.208553,-3.429761
3.332624,-3.617316
2.876198,-3.436319
3.128654,-3.629097
2.996759,-3.610886
3.140405,-3.498097
3.148284,-3.560005
3.081257,-3.679949
3.262052,-3.511042
3.240522,-3.573171
3.154937,-3.422259
3.141492,-3.522244
3.050880,-3.472406
3.283950,-3.544485
3.187112,-3.670156
3.063785,-3.480854
3.050878,-3.517810
3.142319,-3.445912
3.122106,-3.628155
3.003310,-3.326328
3.001845,-3.481505
3.220233,-3.641433
3.005343,-3.315895
3.005278,-3.650271
3.036974,-3.568371
3.209168,-3.566773
3.298359,-3.491930
3.033926,-3.484403
3.026374,-3.465526
3.304163,-3.461391
3.098093,-3.524835
3.166507,-3.519799
3.164130,-3.507770
3.119859,-3.466266
3.144381,-3.383428
3.103262,-3.508118
2.964852,-3.413178
3.031078,-3.527327
3.116784,-3.499141
3.074525,-3.442947
3.078604,-3.443517
3.144238,-3.440536
3.119630,-3.374280
3.004828,-3.768177
3.211308,-3.484786
3.446671,-3.452380
3.051487,-3.488516
3.325479,-3.509113
3.110912,-3.416009
3.165648,-3.432979
3.183159,-3.570416
3.122188,-3.555283
3.170858,-3.643573
3.095477,-3.567458
3.227477,-3.443589
3.073131,-3.465603
3.011556,-3.362848
3.120411,-3.565803
3.001071,-3.493746
3.134232,-3.474889
3.212848,-3.467454
3.146510,-3.311907
3.029099,-3.449858
3.099617,-3.619122
3.377140,-3.550537
3.059511,-3.587141
3.229756,-3.549676
3.036967,-3.460007
